datetime,weekday,weekend,location1,location2,device_type,SSID,RSSI,ping_ms,download_Mbps,upload_Mbps,packet_loss_rate,ping_jitter_ms,ap_code,client,floor_client,building_client
2025-11-13 21:10,4,0,"(36.369804, 127.346509)",도서관B1,노트북3,CNU WiFi,-44,13.9,57.95,199.14,0,29.43,CLIENT_AP_B1F0138121,12,153,762
2025-11-13 21:25,4,0,"(36.369804, 127.346509)",도서관B1,노트북3,CNU WiFi,-62,5.9,60.06,97.89,0,3.88,CLIENT_AP_B1F0138121,12,152,731
2025-11-13 21:30,4,0,"(36.369804, 127.346509)",도서관B1,노트북3,CNU WiFi,-64,3.58,66.54,85.58,0,2.1,CLIENT_AP_B1F0138121,11,147,698
2025-11-13 21:40,4,0,"(36.369804, 127.346509)",도서관B1,노트북3,CNU WiFi,-64,30.37,115.49,122.53,0,20.18,CLIENT_AP_B1F0138121,13,138,681
2025-11-13 21:45,4,0,"(36.369804, 127.346509)",도서관B1,노트북3,CNU WiFi,-63,14.81,135.99,115.09,0,23.58,CLIENT_AP_B1F0138121,13,139,666
2025-11-14 17:40,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-72,3.9,68.84,95.1,0,2.2,CLIENT_AP_B2F0155121,3,134,662
2025-11-14 17:45,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-72,5.13,64.23,90.55,2,2.44,CLIENT_AP_B2F0155121,4,133,664
2025-11-14 17:50,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-72,1.61,66.41,91.45,1.76,0.23,CLIENT_AP_B2F0155121,5,135,655
2025-11-14 17:55,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-72,5.99,65.89,81.33,2.29,5.23,CLIENT_AP_B2F0155121,3,123,647
2025-11-14 18:05,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-72,1.59,59.4,11.88,6.15,3.02,CLIENT_AP_B2F0155121,3,119,622
2025-11-14 18:55,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,6.25,89.34,138.86,0,5.42,CLIENT_AP_B2F0155121,4,109,585
2025-11-14 19:01,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,6.93,106.98,129.83,0,9.68,CLIENT_AP_B2F0155121,6,123,584
2025-11-14 19:02,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-62,1.65,110.87,126.42,0,0.13,CLIENT_AP_B2F0155121,6,123,584
2025-11-14 19:03,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,3.76,104.17,123.82,0,3.89,CLIENT_AP_B2F0155121,6,123,584
2025-11-14 19:04,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,5.61,90.95,126.28,0,6.44,CLIENT_AP_B2F0155121,6,123,584
2025-11-14 19:05,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.01,96.19,124.08,0,1.44,CLIENT_AP_B2F0155121,6,123,584
2025-11-14 19:06,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.74,89.69,126.1,0,0.21,CLIENT_AP_B2F0155121,3,117,588
2025-11-14 19:07,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.66,93.94,121.58,0,3.63,CLIENT_AP_B2F0155121,3,117,588
2025-11-14 19:08,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.91,94.54,120.19,0,0.52,CLIENT_AP_B2F0155121,3,117,588
2025-11-14 19:09,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.97,91.09,126.85,0,2.61,CLIENT_AP_B2F0155121,3,117,588
2025-11-14 19:10,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.96,90.53,132.61,0,0.14,CLIENT_AP_B2F0155121,3,117,588
2025-11-14 19:11,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,1.84,112.46,129.29,0,0.18,CLIENT_AP_B2F0155121,4,118,582
2025-11-14 19:12,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.82,90.03,123.58,0,0.34,CLIENT_AP_B2F0155121,4,118,582
2025-11-14 19:13,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.12,89.3,135.67,0,0.67,CLIENT_AP_B2F0155121,4,118,582
2025-11-14 19:14,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.61,93.95,140.48,0,0.37,CLIENT_AP_B2F0155121,4,118,582
2025-11-14 19:15,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.03,89.87,143.52,0,0.86,CLIENT_AP_B2F0155121,4,118,582
2025-11-14 19:16,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.79,97.24,143.12,0,0.55,CLIENT_AP_B2F0155121,3,113,561
2025-11-14 19:17,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.09,94.66,139.25,0,0.54,CLIENT_AP_B2F0155121,3,113,561
2025-11-14 19:18,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.08,95.37,137,0,0.21,CLIENT_AP_B2F0155121,3,113,561
2025-11-14 19:19,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.89,92.05,138.25,0,0.42,CLIENT_AP_B2F0155121,3,113,561
2025-11-14 19:20,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.64,97.41,140.46,,0.17,CLIENT_AP_B2F0155121,3,113,561
2025-11-14 19:21,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.05,92.85,135.7,0,0.53,CLIENT_AP_B2F0155121,3,115,552
2025-11-14 19:22,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.05,86.84,135.54,0,0.17,CLIENT_AP_B2F0155121,3,115,552
2025-11-14 19:24,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.5,94.58,121.48,0,0.16,CLIENT_AP_B2F0155121,3,115,552
2025-11-14 19:25,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,4.65,91.39,132.41,0,8.61,CLIENT_AP_B2F0155121,3,115,552
2025-11-14 19:26,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.47,95.63,126.08,0,0.19,CLIENT_AP_B2F0155121,3,114,559
2025-11-14 19:27,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.91,95.51,130.44,0,0.56,CLIENT_AP_B2F0155121,3,114,559
2025-11-14 19:28,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2,91.07,136.88,,0.22,CLIENT_AP_B2F0155121,3,114,559
2025-11-14 20:29,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.09,76.93,127.43,0,0.25,CLIENT_AP_B2F0155121,1,126,538
2025-11-14 20:31,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,1.78,87.1,119.78,0,0.22,CLIENT_AP_B2F0155121,1,124,533
2025-11-14 20:33,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.83,75.8,110.71,0,0.08,CLIENT_AP_B2F0155121,1,124,533
2025-11-14 20:35,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.68,66.25,110.27,0,0.49,CLIENT_AP_B2F0155121,1,124,533
2025-11-14 20:39,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.65,72.79,119.07,0,0.09,CLIENT_AP_B2F0155121,1,130,518
2025-11-14 20:41,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.8,76.92,125.55,0,0.1,CLIENT_AP_B2F0155121,2,128,520
